ts,open,high,low,close,volume
1763387520000,93582.41,93582.41,93582.41,93582.41,0.00025
1763387580000,93582.76,93582.76,93582.76,93582.76,0.00019
1763387640000,93582.76,93582.76,93582.76,93582.76,0.0
1763387700000,93582.43,93582.43,93582.43,93582.43,0.00548
1763387760000,93650.0,93700.0,93650.0,93700.0,0.06989
1763387820000,93857.69,93857.69,93857.68,93857.69,0.04399
1763387880000,93857.69,93857.69,93857.69,93857.69,0.0
1763387940000,93899.99,93899.99,93879.46,93888.0,0.00034
1763388000000,93887.99,93888.0,93887.99,93888.0,0.00217
1763388060000,93887.95,93887.95,93887.95,93887.95,0.00423
1763388120000,93887.97,93887.97,93887.97,93887.97,0.00014
1763388180000,93888.0,94000.0,93888.0,94000.0,0.02914
1763388240000,93793.47,94220.73,93793.47,94187.11,0.00106
1763388300000,94187.06,94187.06,94186.98,94186.98,0.00106
1763388360000,93880.8,93880.8,93880.8,93880.8,8e-05
1763388420000,93880.8,93880.8,93880.57,93880.57,0.06158
1763388480000,93880.57,93880.57,93880.57,93880.57,0.0
1763388540000,94050.27,94050.27,94050.27,94050.27,0.00027
1763388600000,94050.17,94050.17,94050.17,94050.17,0.00106
1763388660000,94050.1,94050.1,94050.1,94050.1,0.00016
1763388720000,94048.79,94048.79,94048.79,94048.79,5e-05
1763388780000,94048.44,94048.44,94048.44,94048.44,5e-05
1763388840000,94048.43,94048.44,94048.43,94048.44,0.02244
1763388900000,94048.44,94048.44,94048.44,94048.44,0.0
1763388960000,94126.44,94131.96,94126.44,94131.96,0.03486
1763389020000,94232.59,94373.93,94232.59,94373.93,0.00716
1763389080000,94373.93,94373.93,94373.93,94373.93,0.0
1763389140000,94373.93,94373.93,94373.93,94373.93,0.0
1763389200000,94373.93,94373.93,94373.93,94373.93,0.0
1763389260000,94373.93,94373.93,94373.93,94373.93,0.0
1763389320000,94383.02,94383.02,94383.02,94383.02,0.00032
1763389380000,94383.02,94383.02,94383.02,94383.02,0.0
1763389440000,94383.02,94383.02,94383.02,94383.02,0.0
1763389500000,94214.9,94214.9,94214.9,94214.9,8e-05
1763389560000,94214.9,94214.9,94214.9,94214.9,0.0
1763389620000,94214.9,94214.9,94214.9,94214.9,0.0
1763389680000,94314.78,94314.78,94314.78,94314.78,2e-05
1763389740000,94314.78,94314.78,94314.78,94314.78,0.0
1763389800000,94201.89,94314.5,94201.89,94314.5,0.00031
1763389860000,94314.5,94314.5,94314.5,94314.5,0.0
1763389920000,94314.28,94611.78,94314.28,94611.78,0.04684
1763389980000,94611.82,94611.82,94422.1,94422.1,0.0017
1763390040000,94594.96,94827.6,94594.96,94827.6,0.00383
1763390100000,94878.37,94940.14,94878.37,94940.14,0.00263
1763390160000,94940.17,95736.57,94940.17,95664.89,1.17059
1763390220000,95811.29,95948.96,95811.29,95948.96,0.01653
1763390280000,95818.63,95818.63,95587.66,95587.66,0.04632
1763390340000,95747.47,95747.47,95747.47,95747.47,0.00104
1763390400000,95747.04,95747.04,95747.04,95747.04,9e-05
1763390460000,95366.87,95655.13,95227.41,95227.41,0.17054
1763390520000,95227.4,95227.4,95159.67,95159.67,0.00042
1763390580000,95360.4,95360.4,95360.4,95360.4,9e-05
1763390640000,95360.4,95360.4,95360.4,95360.4,0.0
1763390700000,95414.46,95414.46,95414.46,95414.46,0.00084
1763390760000,95501.68,95501.68,95501.68,95501.68,0.00052
1763390820000,95501.68,95501.68,95501.68,95501.68,0.0
1763390880000,95501.68,95501.68,95501.68,95501.68,0.0
1763390940000,95685.58,95685.58,95685.56,95685.56,0.00022
1763391000000,95139.59,95139.59,95139.59,95139.59,0.0004
1763391060000,95591.47,95591.47,95591.47,95591.47,5e-05
1763391120000,95591.14,95591.14,95591.14,95591.14,0.00343
1763391180000,95151.09,95151.09,94878.37,94878.37,0.0611
1763391240000,94823.46,95094.32,94798.08,95094.29,0.00723
1763391300000,94708.61,94708.61,94708.61,94708.61,0.00078
1763391360000,94942.56,94942.56,94942.26,94942.26,0.0112
1763391420000,94941.66,94941.66,94632.96,94632.96,0.00601
1763391480000,94857.43,94857.43,94857.29,94857.29,0.00069
1763391540000,94857.29,94857.29,94857.29,94857.29,0.0
1763391600000,94856.95,94999.97,94856.95,94999.97,0.00044
1763391660000,94999.97,94999.97,94999.97,94999.97,0.0
1763391720000,94998.68,94998.68,94998.68,94998.68,0.00021
1763391780000,94632.71,94632.75,94632.71,94632.75,0.00162
1763391840000,94492.58,94492.58,94492.58,94492.58,0.00014
1763391900000,94492.58,94492.58,94492.58,94492.58,0.0
1763391960000,94492.58,94492.58,94492.58,94492.58,0.0
1763392020000,94999.96,94999.96,94999.96,94999.96,0.00053
1763392080000,94998.21,94998.21,94437.2,94621.8,0.00162
1763392140000,94394.62,94516.48,94232.7,94516.48,0.00421
1763392200000,94516.29,94516.29,94516.17,94516.17,0.00118
1763392260000,94725.25,94725.25,94725.25,94725.25,0.00011
1763392320000,94725.07,94725.07,94725.07,94725.07,0.00053
1763392380000,94725.07,94725.07,94725.07,94725.07,0.0
1763392440000,94711.45,94711.45,94711.45,94711.45,0.00132
1763392500000,94711.45,94711.45,94711.45,94711.45,0.0
1763392560000,94711.45,94711.45,94711.45,94711.45,0.0
1763392620000,94143.85,94143.85,94143.75,94143.75,0.00101
1763392680000,94429.1,94429.1,94429.1,94429.1,0.00014
1763392740000,94106.25,94106.25,93890.69,93890.69,0.00953
1763392800000,93890.69,93890.69,93890.69,93890.69,0.30061
1763392860000,94244.2,94244.2,94244.2,94244.2,0.00042
1763392920000,94244.2,94244.2,94244.2,94244.2,0.0
1763392980000,94244.2,94244.2,94244.2,94244.2,0.0
1763393040000,94020.51,94020.51,94020.51,94020.51,0.00584
1763393100000,94020.51,94020.51,94020.51,94020.51,0.0
1763393160000,94020.51,94020.51,94020.51,94020.51,0.0
1763393220000,94020.51,94020.51,94020.51,94020.51,0.0
1763393280000,94473.55,94491.99,94473.55,94491.99,0.05636
1763393340000,94632.89,94708.57,94342.86,94342.86,0.38109
1763393400000,94342.86,94342.86,94342.86,94342.86,0.0
1763393460000,94342.86,94342.86,94342.86,94342.86,0.0
1763393520000,94684.52,94684.52,94684.52,94684.52,8e-05
1763393580000,94347.76,94347.76,94263.53,94263.54,0.10199
1763393640000,94263.54,94263.54,94263.54,94263.54,0.0
1763393700000,94106.65,94339.45,94106.33,94106.33,0.00646
1763393760000,94106.49,94106.49,94106.49,94106.49,0.0056
1763393820000,94338.77,94338.77,94070.3,94070.3,0.01783
1763393880000,94070.59,94070.59,94051.62,94051.62,0.0112
1763393940000,94051.74,94325.03,94051.74,94052.11,0.00929
1763394000000,94052.11,94052.11,94052.11,94052.11,0.0
1763394060000,94324.41,94324.41,94324.41,94324.41,0.00516
1763394120000,94324.41,94324.41,94324.41,94324.41,0.0
1763394180000,94324.41,94324.41,94324.41,94324.41,0.0
1763394240000,94324.41,94324.41,94324.41,94324.41,0.0
1763394300000,94324.41,94324.41,94324.41,94324.41,0.0
1763394360000,94324.41,94324.41,94324.41,94324.41,0.005
1763394420000,94324.41,94324.41,94324.41,94324.41,0.0
1763394480000,94324.41,94324.41,94324.41,94324.41,0.0
1763394540000,94324.41,94324.41,94324.41,94324.41,0.0
1763394600000,94324.41,94324.41,94324.41,94324.41,0.0
1763394660000,94324.41,94324.41,94324.41,94324.41,0.0
1763394720000,94324.41,94324.41,94324.41,94324.41,0.0
1763394780000,94324.41,94324.41,94324.41,94324.41,0.0
1763394840000,94324.41,94324.41,94324.41,94324.41,0.0
1763394900000,94240.27,94240.27,94222.0,94222.0,1.3604
1763394960000,94237.99,94237.99,94237.99,94237.99,0.00016
1763395020000,94000.01,94000.01,94000.01,94000.01,0.00044
1763395080000,94000.01,94000.01,94000.01,94000.01,0.0
1763395140000,94181.03,94181.03,94181.03,94181.03,0.00032
1763395200000,94000.0,94179.57,94000.0,94179.47,0.01097
1763395260000,93928.41,93928.41,93831.63,93831.63,0.00165
1763395320000,93814.5,93909.93,93750.02,93909.93,0.00348
1763395380000,93692.39,93692.39,93692.39,93692.39,0.00052
1763395440000,93692.4,93692.4,93692.39,93692.39,0.00068
