ts,open,high,low,close,volume
1762874400000,3512.21,3512.5,3512.21,3512.5,0.0055
1762874700000,3496.51,3496.51,3490.29,3490.29,8.5411
1762875000000,3486.04,3486.04,3470.27,3477.8,3.8348
1762875300000,3477.81,3477.81,3477.8,3477.8,0.8027
1762875600000,3484.61,3494.35,3484.61,3494.35,0.2441
1762875900000,3483.66,3486.92,3469.56,3478.45,0.0918
1762876200000,3478.73,3480.22,3473.97,3480.22,0.33
1762876500000,3483.75,3488.16,3481.1,3481.1,0.2576
1762876800000,3474.11,3486.91,3474.1,3486.46,2.7304
1762877100000,3476.67,3476.73,3465.13,3465.13,1.2074
1762877400000,3474.74,3482.1,3474.58,3481.34,2.1146
1762877700000,3481.28,3486.1,3481.28,3486.1,0.3367
1762878000000,3486.15,3492.51,3486.15,3492.51,0.1602
1762878300000,3492.51,3492.51,3474.06,3474.06,0.411
1762878600000,3474.4,3481.65,3470.07,3481.65,1.9034
1762878900000,3485.9,3485.9,3480.88,3480.88,1.1267
1762879200000,3479.97,3495.51,3479.97,3495.51,1.4636
1762879500000,3484.7,3498.28,3484.7,3498.28,0.0709
1762879800000,3493.06,3493.06,3493.06,3493.06,0.1337
1762880100000,3490.36,3490.36,3486.15,3486.15,0.0743
1762880400000,3490.13,3490.13,3481.82,3484.59,0.1368
1762880700000,3484.45,3494.51,3484.45,3490.55,0.247
1762881000000,3493.86,3497.3,3492.96,3492.96,0.2311
1762881300000,3490.34,3490.34,3488.77,3488.77,0.1332
1762881600000,3480.47,3480.47,3480.47,3480.47,0.0035
1762881900000,3477.56,3477.56,3474.21,3474.21,0.0946
1762882200000,3481.0,3481.0,3468.45,3468.45,0.0433
1762882500000,3476.22,3476.22,3461.4,3461.4,0.1618
1762882800000,3459.06,3460.68,3447.95,3460.68,1.5319
1762883100000,3460.82,3462.01,3452.79,3461.61,12.1045
1762883400000,3464.4,3473.44,3464.4,3473.44,0.0744
1762883700000,3474.05,3474.06,3473.98,3474.06,0.2736
1762884000000,3479.82,3480.47,3474.06,3480.45,0.0573
1762884300000,3478.76,3478.76,3462.01,3477.94,0.2018
1762884600000,3474.43,3484.34,3474.43,3484.3,0.0734
1762884900000,3484.3,3484.3,3484.04,3484.04,0.0046
1762885200000,3484.04,3484.04,3484.04,3484.04,0.0
1762885500000,3469.2,3478.67,3465.0,3476.0,0.3816
1762885800000,3470.82,3470.82,3470.82,3470.82,0.2437
1762886100000,3482.21,3482.21,3466.0,3466.0,0.1694
1762886400000,3474.86,3483.58,3464.75,3464.75,0.0113
1762886700000,3465.2,3471.41,3465.2,3465.94,0.1616
1762887000000,3472.09,3472.09,3472.09,3472.09,0.0479
1762887300000,3477.37,3477.37,3477.37,3477.37,0.0119
1762887600000,3464.47,3470.78,3462.01,3470.75,0.1055
1762887900000,3459.06,3459.06,3459.06,3459.06,0.0345
1762888200000,3463.4,3463.4,3463.4,3463.4,0.0014
1762888500000,3464.98,3464.98,3464.98,3464.98,0.0483
1762888800000,3464.98,3464.98,3464.98,3464.98,0.0
1762889100000,3464.98,3464.98,3464.98,3464.98,0.0
1762889400000,3464.98,3464.98,3464.98,3464.98,0.0
1762889700000,3468.9,3468.9,3468.9,3468.9,0.0011
1762890000000,3452.28,3460.3,3448.45,3460.3,0.1684
1762890300000,3459.94,3468.92,3452.12,3468.92,0.7643
1762890600000,3467.63,3467.71,3467.63,3467.71,0.0383
1762890900000,3471.49,3471.49,3471.21,3471.21,0.2979
1762891200000,3465.37,3465.42,3452.58,3452.79,0.2991
1762891500000,3460.18,3460.18,3445.05,3445.05,0.0971
1762891800000,3453.43,3453.43,3441.06,3450.42,0.0805
1762892100000,3450.42,3450.42,3450.42,3450.42,0.0
